"Year","Tm","R.G","ROE","XI","RS.","SBO","SB","CS","SB.","SB2","CS2","SB3","CS3","SBH","CSH","PO","PCS","OOB","OOB1","OOB2","OOB3","OOBHm","BT","XBT.","X1stS","X1stS2","X1stS3","X1stD","X1stD3","X1stDH","X2ndS","X2ndS3","X2ndSH"
2017,"Los Angeles Dodgers",4.75,39,"100%","30%",2271,77,"2800%","73%",60,24,15,2,2,2,12,4,53,8,13,12,20,"16900%","38%",261,183,75,98,50,46,149,64,74
2017,"Miami Marlins",4.8,42,"200%","31%",2310,91,"3000%","75%",82,22,9,6,0,2,9,2,46,5,14,9,18,"13100%","39%",309,218,86,88,46,38,175,68,100
2017,"Milwaukee Brewers",4.52,47,"0%","29%",2112,128,"4100%","76%",98,32,30,7,0,2,14,6,49,5,10,9,25,"14700%","35%",256,194,58,85,46,38,136,52,73
2017,"Minnesota Twins",5.03,50,"0%","32%",2327,95,"2800%","77%",91,24,4,2,0,2,10,6,47,7,15,8,17,"15700%","42%",311,215,92,96,53,40,201,69,124
2017,"New York Mets",4.54,44,"0%","29%",2214,58,"2300%","72%",48,15,10,6,0,2,8,2,45,7,16,10,12,"13000%","35%",259,194,60,95,61,32,150,56,86
2017,"New York Yankees",5.3,84,"600%","32%",2376,90,"2200%","80%",85,21,5,1,0,0,10,5,70,8,28,14,20,"19000%","39%",308,216,86,88,58,29,187,66,111
2017,"Oakland Athletics",4.56,49,"100%","29%",2176,57,"2200%","72%",47,20,9,2,1,0,10,2,49,5,19,11,14,"15700%","35%",236,174,62,105,68,33,143,65,75
2017,"Philadelphia Phillies",4.26,60,"0%","29%",2230,59,"2500%","70%",55,20,4,4,0,1,15,2,66,12,17,11,26,"13700%","37%",276,206,68,91,45,41,165,66,88
2017,"Pittsburgh Pirates",4.12,54,"100%","29%",2163,67,"3600%","65%",61,31,5,4,1,1,19,8,45,5,12,13,15,"10900%","40%",309,211,94,74,39,34,180,72,99
2017,"San Diego Padres",3.73,49,"0%","26%",2080,89,"3300%","73%",76,28,11,3,2,2,12,4,51,3,21,11,16,"11800%","43%",239,150,82,59,28,29,133,56,72
2017,"Seattle Mariners",4.63,47,"100%","30%",2221,89,"3500%","72%",83,31,6,4,0,0,12,6,59,13,22,14,10,"15800%","37%",306,223,83,74,49,23,181,78,99
2017,"San Francisco Giants",3.94,50,"0%","29%",2187,76,"3400%","69%",64,30,11,4,1,0,11,5,51,8,12,15,16,"16400%","41%",290,200,87,77,45,31,188,69,107
2017,"St. Louis Cardinals",4.7,48,"0%","30%",2265,81,"3100%","72%",66,27,15,4,0,0,18,3,64,10,21,12,21,"14800%","40%",300,202,91,93,56,34,155,57,93
2017,"Tampa Bay Rays",4.28,42,"500%","27%",2157,88,"3400%","72%",66,28,22,5,0,1,10,5,50,11,9,14,16,"16200%","40%",308,212,90,60,38,21,148,53,93
2017,"Texas Rangers",4.93,54,"100%","32%",2110,113,"4400%","72%",93,38,20,6,0,0,12,6,67,9,21,15,22,"17500%","44%",233,164,66,92,51,38,147,37,103
2017,"Toronto Blue Jays",4.28,49,"200%","27%",2171,53,"2400%","69%",41,21,10,2,2,1,12,3,46,8,15,4,19,"13900%","35%",260,186,72,82,53,28,130,60,63
2017,"Washington Nationals",5.06,54,"0%","32%",2248,108,"3000%","78%",91,24,17,6,0,0,14,6,48,8,13,12,15,"12200%","41%",292,201,89,99,52,44,182,72,104
2017,"League Average",4.65,53,"100%","30%",2229,84,"3100%","73%",71,27,13,4,0,1,12,5,53,8,16,12,17,"14900%","40%",286,202,80,87,49,36,166,61,97
2018,"Arizona Diamondbacks",4.28,56,"200%","30%",2136,79,"2500%","76%",61,22,18,3,0,0,9,4,56,8,22,5,21,"15600%","45%",245,157,84,69,35,33,130,44,81
2018,"Atlanta Braves",4.69,57,"0%","31%",2273,90,"3600%","71%",75,28,13,7,2,1,8,5,51,6,14,8,23,"14200%","44%",284,190,92,102,56,42,171,51,110
2018,"Baltimore Orioles",3.84,45,"0%","27%",2090,81,"2200%","79%",72,17,8,4,1,1,8,3,48,5,21,5,17,"14100%","41%",253,177,74,83,41,35,148,58,87
2018,"Boston Red Sox",5.41,68,"0%","34%",2271,125,"3100%","80%",109,25,16,4,0,2,13,5,57,5,23,12,17,"18600%","37%",274,190,82,120,79,39,203,98,97
2018,"Chicago Cubs",4.67,59,"500%","30%",2351,66,"3800%","63%",53,31,11,6,2,1,12,6,70,14,20,15,21,"19100%","43%",344,210,127,98,59,37,171,66,99
2018,"Chicago White Sox",4.05,58,"100%","28%",2065,98,"4100%","71%",79,37,19,3,0,1,13,6,53,4,18,9,22,"12300%","41%",250,166,81,85,46,35,140,56,77
2018,"Cincinnati Reds",4.3,37,"0%","28%",2308,77,"3300%","70%",67,29,10,2,0,2,14,8,49,8,11,11,19,"11500%","35%",333,246,84,78,42,35,182,89,86
2018,"Cleveland Indians",5.05,55,"200%","31%",2257,135,"3600%","79%",118,32,15,3,2,1,7,5,56,11,23,11,11,"18700%","41%",301,209,88,104,62,42,175,62,106
2018,"Colorado Rockies",4.79,58,"0%","32%",2210,95,"3300%","74%",91,33,4,0,0,0,11,5,59,10,12,19,18,"12600%","47%",265,164,94,81,41,38,161,50,108
2018,"Detroit Tigers",3.89,68,"0%","29%",2110,70,"3000%","70%",66,28,4,1,0,1,14,5,48,9,14,13,12,"15000%","39%",285,197,84,93,55,35,138,53,80
2018,"Houston Astros",4.92,51,"800%","32%",2247,71,"2600%","73%",63,22,8,3,0,1,10,1,58,8,21,11,18,"17200%","39%",292,207,82,103,56,46,160,69,89
2018,"Kansas City Royals",3.94,52,"0%","29%",2130,117,"3800%","75%",85,31,32,5,0,2,15,7,50,6,14,9,21,"14800%","41%",236,167,68,79,35,40,152,58,85
2018,"Los Angeles Angels",4.45,48,"300%","29%",2161,89,"2200%","80%",78,18,10,4,1,0,7,3,58,9,17,13,19,"16900%","42%",287,188,92,76,46,30,146,49,91
2018,"Los Angeles Dodgers",4.93,56,"0%","30%",2318,75,"2400%","76%",57,20,18,1,0,3,10,4,63,10,24,10,19,"19600%","45%",270,168,97,100,58,40,165,58,104
2018,"Miami Marlins",3.66,74,"400%","27%",2193,45,"3100%","59%",40,29,5,2,0,0,11,2,47,11,17,10,9,"12600%","40%",298,209,86,76,42,32,176,70,101
2018,"Milwaukee Brewers",4.63,65,"300%","30%",2201,124,"3200%","79%",96,25,28,7,0,0,15,7,56,8,16,13,19,"14800%","39%",269,187,76,81,46,33,161,63,92
2018,"Minnesota Twins",4.56,42,"0%","32%",2209,47,"2700%","64%",43,26,4,0,0,1,20,7,54,2,19,8,25,"16400%","46%",275,181,89,111,57,51,173,48,115
2018,"New York Mets",4.17,58,"0%","29%",2183,71,"3900%","65%",60,33,11,6,0,0,13,6,45,7,15,10,13,"14100%","44%",261,178,81,89,46,39,143,43,98
2018,"New York Yankees",5.25,52,"0%","32%",2296,63,"2100%","75%",54,19,9,1,0,1,7,1,54,12,10,13,19,"19700%","41%",260,182,76,77,41,34,164,64,94
2018,"Oakland Athletics",5.02,48,"0%","32%",2274,35,"2100%","63%",31,20,3,1,1,0,8,3,42,6,11,10,15,"16000%","45%",284,189,94,106,52,52,153,48,98
2018,"Philadelphia Phillies",4.18,43,"200%","28%",2186,69,"2600%","73%",64,20,3,5,2,1,12,2,35,6,13,9,7,"14400%","38%",263,190,67,74,43,31,135,50,82
2018,"Pittsburgh Pirates",4.3,48,"300%","30%",2151,70,"3800%","65%",64,36,6,1,0,1,6,4,62,11,14,14,23,"14700%","41%",272,188,83,99,50,45,149,52,86
2018,"San Diego Padres",3.81,47,"0%","28%",2103,95,"3600%","73%",87,32,8,3,0,1,14,8,52,6,16,14,16,"9900%","39%",252,182,66,64,31,31,127,47,74
2018,"Seattle Mariners",4.18,45,"400%","28%",2190,79,"3700%","68%",69,34,10,2,0,1,11,8,40,3,10,12,15,"16000%","38%",295,216,74,83,52,31,176,60,106
2018,"San Francisco Giants",3.72,50,"0%","28%",2166,77,"3400%","69%",70,29,7,5,0,0,14,6,32,6,13,5,8,"15400%","40%",293,205,87,78,44,33,159,62,92
2018,"St. Louis Cardinals",4.69,45,"300%","31%",2241,63,"3200%","66%",57,28,6,3,0,1,10,2,59,11,11,17,20,"14900%","41%",310,212,90,83,44,36,184,70,111
2018,"Tampa Bay Rays",4.42,45,"100%","29%",2311,128,"5100%","72%",116,44,11,4,1,3,18,3,64,13,18,10,23,"15200%","40%",320,226,91,78,38,35,180,67,105
2018,"Texas Rangers",4.55,55,"0%","30%",2209,74,"3500%","68%",68,30,6,5,0,0,12,5,51,7,22,10,12,"16800%","42%",265,180,80,80,44,34,142,47,89
2018,"Toronto Blue Jays",4.38,52,"0%","29%",2114,47,"3000%","61%",38,26,7,3,2,1,8,1,64,7,23,13,21,"14100%","35%",241,171,64,100,71,26,142,55,79
2018,"Washington Nationals",4.76,43,"0%","30%",2290,119,"3300%","78%",98,31,20,2,1,0,22,9,54,8,17,13,16,"14000%","39%",314,223,88,83,41,40,179,77,97
2018,"League Average",4.45,53,"100%","30%",2208,82,"3200%","72%",71,28,11,3,0,1,12,5,53,8,17,11,17,"15300%","41%",280,192,84,88,48,37,160,59,94
2021,"Arizona Diamondbacks",4.19,41,"400%","30%",2222,43,"1600%","73%",38,16,5,0,0,0,4,2,40,8,10,13,9,"13000%","43%",278,193,82,91,53,36,172,53,115
2021,"Atlanta Braves",4.91,38,"200%","33%",2144,59,"1900%","76%",56,16,2,3,1,0,8,4,40,5,13,7,15,"14700%","44%",242,164,76,80,42,33,162,53,104
2021,"Baltimore Orioles",4.07,30,"200%","28%",2114,54,"2300%","70%",47,23,6,0,1,0,8,6,47,8,11,12,16,"16000%","39%",268,198,66,75,44,27,147,43,97
2021,"Boston Red Sox",5.12,45,"200%","34%",2229,40,"2100%","66%",32,16,8,4,0,1,7,4,55,5,22,12,16,"16900%","41%",293,196,93,108,67,39,177,66,105
2021,"Chicago Cubs",4.35,44,"200%","30%",2135,86,"3700%","70%",75,31,9,2,2,4,9,3,49,10,12,8,19,"12400%","40%",241,160,74,73,36,36,137,62,71
2021,"Chicago White Sox",4.91,56,"0%","32%",2364,57,"2000%","74%",43,18,13,2,1,0,10,5,54,11,14,11,18,"15200%","44%",300,206,90,87,49,38,175,49,118
2021,"Cincinnati Reds",4.85,37,"100%","31%",2320,36,"2400%","60%",28,20,8,3,0,1,10,6,51,6,20,10,15,"16300%","35%",255,196,57,123,71,47,156,68,84
2021,"Cleveland Indians",4.43,48,"200%","32%",2078,109,"1700%","87%",93,15,16,2,0,0,6,1,47,7,15,11,14,"14300%","43%",241,153,84,78,44,29,168,62,97
2021,"Colorado Rockies",4.59,39,"0%","32%",2258,76,"2300%","77%",70,21,6,2,0,0,10,5,42,4,11,12,15,"13200%","45%",254,173,78,95,50,43,159,49,105
2021,"Detroit Tigers",4.3,39,"200%","31%",2068,88,"2500%","78%",78,21,10,4,0,0,10,6,56,12,12,14,18,"16100%","41%",295,201,87,68,39,27,168,61,102
2021,"Houston Astros",5.33,40,"200%","33%",2385,53,"1600%","77%",49,11,4,4,0,1,9,3,43,2,14,11,16,"17600%","36%",318,237,73,116,75,39,191,71,115
2021,"Kansas City Royals",4.23,39,"700%","31%",2123,124,"3300%","79%",91,27,32,5,1,1,9,3,55,5,18,10,22,"18200%","39%",268,193,72,76,43,32,166,66,96
2021,"Los Angeles Angels",4.46,33,"100%","32%",2165,79,"2600%","75%",70,23,8,2,1,1,7,4,43,4,17,6,16,"13800%","41%",231,164,66,96,50,43,162,64,93
2021,"Los Angeles Dodgers",5.12,44,"0%","33%",2313,65,"1700%","79%",49,14,15,3,1,0,9,4,42,4,12,10,16,"16300%","39%",286,200,83,87,48,37,172,73,95
2021,"Miami Marlins",3.85,39,"600%","28%",2071,106,"2900%","79%",93,26,13,3,0,0,23,8,45,9,16,10,10,"13900%","41%",260,176,82,66,37,25,148,56,88
2021,"Milwaukee Brewers",4.56,42,"300%","31%",2208,82,"2100%","80%",74,19,8,1,0,1,9,6,45,8,16,8,13,"12100%","42%",250,171,76,85,53,31,156,50,98
2021,"Minnesota Twins",4.5,35,"300%","29%",2171,54,"1500%","78%",47,15,7,0,0,0,5,1,36,4,13,9,10,"17300%","37%",251,181,69,71,46,22,147,62,83
2021,"New York Mets",3.93,45,"0%","28%",2204,54,"2600%","68%",48,23,5,3,1,0,13,6,41,9,12,9,11,"11500%","37%",248,169,75,63,36,27,150,76,70
2021,"New York Yankees",4.39,31,"100%","28%",2215,63,"1800%","78%",54,15,9,3,0,0,3,1,50,7,9,12,22,"16300%","36%",266,205,56,84,53,29,158,54,100
